,Item_Identifier,Item_Fat_Content,Item_Type,Outlet_Identifier,Outlet_Type,Outlet_Size,Outlet_Location_Type,Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Item_Outlet_Sales
4901,DRI03,Low Fat,Dairy,OUT018,Supermarket Type2,Medium,Tier 3,6.03,0.022796178,178.1028,2009,1416.8224
2066,NCI42,Low Fat,Household,OUT013,Supermarket Type1,High,Tier 3,18.75,0.01035692,208.3954,1987,2709.1402
3858,FDH56,Regular,Fruits and Vegetables,OUT013,Supermarket Type1,High,Tier 3,9.8,0.063764099,113.8492,1987,1737.738
324,FDZ13,Regular,Canned,OUT018,Supermarket Type2,Medium,Tier 3,7.84,0.154120252,51.935,2009,199.74
1521,FDF40,Regular,Dairy,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.03941584,247.8092,1985,498.0184
1873,NCS53,Low Fat,Health and Hygiene,OUT046,Supermarket Type1,Small,Tier 1,14.5,0.089778187,158.4604,1997,2693.8268
3551,FDM04,Regular,Frozen Foods,OUT035,Supermarket Type1,Small,Tier 2,9.195,0.0471117,52.0666,2004,615.1992
456,FDF53,Regular,Frozen Foods,OUT035,Supermarket Type1,Small,Tier 2,20.75,0.083590755,182.2318,2004,3067.3406
3370,FDE47,Low Fat,Starchy Foods,OUT049,Supermarket Type1,Medium,Tier 1,14.15,0.037967687,125.6046,1999,1618.5598
811,FDM08,reg,Fruits and Vegetables,OUT035,Supermarket Type1,Small,Tier 2,10.1,0.053574075,223.7088,2004,2684.5056
5668,DRD37,Low Fat,Soft Drinks,OUT046,Supermarket Type1,Small,Tier 1,9.8,0.013841737,45.206,1997,1211.756
1073,NCR53,Low Fat,Health and Hygiene,OUT018,Supermarket Type2,Medium,Tier 3,12.15,0.0,224.4404,2009,5626.01
1252,NCL05,Low Fat,Health and Hygiene,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.083862625,44.077,1985,216.385
2619,FDV38,Low Fat,Dairy,OUT013,Supermarket Type1,High,Tier 3,19.25,0.101689151,54.6956,1987,163.7868
3210,FDX15,Low Fat,Meat,OUT046,Supermarket Type1,Small,Tier 1,17.2,0.156298858,162.1578,1997,1283.6624
2903,FDE58,Low Fat,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.0,119.8124,1985,1659.1736
4645,FDS56,Regular,Fruits and Vegetables,OUT035,Supermarket Type1,Small,Tier 2,5.785,0.038749536,262.0252,2004,4459.5284
4029,NCS30,Low Fat,Household,OUT046,Supermarket Type1,Small,Tier 1,5.945,0.093026207,128.7652,1997,516.6608
2754,FDU56,LF,Fruits and Vegetables,OUT046,Supermarket Type1,Small,Tier 1,16.85,0.044414056,182.4266,1997,2028.6926
3844,DRC13,Regular,Soft Drinks,OUT018,Supermarket Type2,Medium,Tier 3,8.26,0.032573725,125.073,2009,985.384
1670,FDK60,Regular,Baking Goods,OUT035,Supermarket Type1,Small,Tier 2,16.5,0.093846532,95.7068,2004,1069.2748
5981,NCY06,Low Fat,Household,OUT046,Supermarket Type1,Small,Tier 1,15.25,0.061184804,132.0968,1997,3914.904
4460,NCV54,Low Fat,Household,OUT046,Supermarket Type1,Small,Tier 1,11.1,0.0,119.1124,1997,1303.6364
6014,FDF12,Low Fat,Baking Goods,OUT013,Supermarket Type1,High,Tier 3,8.235,0.08235926,147.6076,1987,3103.9596
553,DRB25,Low Fat,Soft Drinks,OUT035,Supermarket Type1,Small,Tier 2,12.3,0.069446588,106.3938,2004,857.5504
5499,FDK02,Low Fat,Canned,OUT035,Supermarket Type1,Small,Tier 2,12.5,0.112203445,121.144,2004,1438.128
4545,DRF27,Low Fat,Dairy,OUT013,Supermarket Type1,High,Tier 3,8.93,0.028393624,153.434,1987,1378.206
4454,FDL44,Low Fat,Fruits and Vegetables,OUT013,Supermarket Type1,High,Tier 3,18.25,0.012264903,162.8894,1987,3397.5774
3829,FDX21,LF,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,7.05,0.084949955,109.7912,2004,1091.912
2986,DRD25,Low Fat,Soft Drinks,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.078589629,113.286,1985,2716.464
2004,FDQ12,LF,Baking Goods,OUT046,Supermarket Type1,Small,Tier 1,12.65,0.035410748,231.401,1997,2067.309
5822,FDN09,Low Fat,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,14.15,0.034868095,243.7828,2004,6579.4356
3615,FDN15,Low Fat,Meat,OUT018,Supermarket Type2,Medium,Tier 3,17.5,0.016802225,138.518,2009,2376.906
1659,FDD02,LF,Canned,OUT046,Supermarket Type1,Small,Tier 1,16.6,0.0,118.8124,1997,2607.2728
4191,FDK27,Low Fat,Meat,OUT035,Supermarket Type1,Small,Tier 2,11.0,0.008944844,122.3756,2004,2059.9852
2881,FDW03,Regular,Meat,OUT035,Supermarket Type1,Small,Tier 2,5.63,0.024536636,106.1306,2004,2090.612
4034,FDY45,Low Fat,Snack Foods,OUT049,Supermarket Type1,Medium,Tier 1,17.5,0.026182758,253.6356,1999,5086.712
4421,FDW34,Low Fat,Snack Foods,OUT013,Supermarket Type1,High,Tier 3,9.6,0.035549527,244.117,1987,5346.374
4881,NCF30,LF,Household,OUT035,Supermarket Type1,Small,Tier 2,17.0,0.126220187,126.7362,2004,1258.362
2417,FDQ32,Regular,Fruits and Vegetables,OUT049,Supermarket Type1,Medium,Tier 1,17.85,0.046680961,121.9388,1999,3962.8416
860,NCN05,Low Fat,Health and Hygiene,OUT049,Supermarket Type1,Medium,Tier 1,8.235,0.014482153,182.295,1999,3661.9
4309,FDM24,Regular,Baking Goods,OUT035,Supermarket Type1,Small,Tier 2,6.135,0.079312367,151.7366,2004,3325.0052
2942,NCA42,Low Fat,Household,OUT013,Supermarket Type1,High,Tier 3,6.965,0.0,159.4604,1987,3169.208
1849,FDD50,Low Fat,Canned,OUT018,Supermarket Type2,Medium,Tier 3,18.85,0.142219209,167.6132,2009,1522.0188
4895,DRM11,Low Fat,Hard Drinks,OUT018,Supermarket Type2,Medium,Tier 3,6.57,0.066338717,261.4278,2009,4165.2448
2318,FDO25,Low Fat,Canned,OUT046,Supermarket Type1,Small,Tier 1,6.3,0.127449031,210.527,1997,6291.81
2054,FDA28,Regular,Frozen Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.047570401,125.7362,1985,3020.0688
4018,FDN40,Low Fat,Frozen Foods,OUT013,Supermarket Type1,High,Tier 3,5.88,0.086384841,153.2998,1987,2153.1972
5943,NCP06,Low Fat,Household,OUT049,Supermarket Type1,Medium,Tier 1,20.7,0.039306822,150.7366,1999,3325.0052
3121,NCD07,Low Fat,Household,OUT013,Supermarket Type1,High,Tier 3,9.1,0.055382616,115.0518,1987,683.1108
1928,FDW59,Low Fat,Breads,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.03627089,85.9566,1985,169.1132
3270,FDE08,Low Fat,Fruits and Vegetables,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.049080853,147.7734,1985,4602.6754
1894,NCP18,Low Fat,Household,OUT049,Supermarket Type1,Medium,Tier 1,12.15,0.028642712,149.0708,1999,1203.7664
4792,NCV05,Low Fat,Health and Hygiene,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.030062224,154.3656,1985,2471.4496
5520,NCI29,Low Fat,Health and Hygiene,OUT049,Supermarket Type1,Medium,Tier 1,8.6,0.032672263,141.2154,1999,709.077
2467,DRB01,Low Fat,Soft Drinks,OUT049,Supermarket Type1,Medium,Tier 1,7.39,0.082367244,187.753,1999,1518.024
1439,NCW17,Low Fat,Health and Hygiene,OUT046,Supermarket Type1,Small,Tier 1,18.0,0.019386234,126.8994,1997,3083.9856
4553,FDS32,Regular,Fruits and Vegetables,OUT046,Supermarket Type1,Small,Tier 1,17.75,0.029653914,140.5838,1997,2669.1922
5967,NCE42,Low Fat,Household,OUT046,Supermarket Type1,Small,Tier 1,21.1,0.010602292,235.3958,1997,3271.7412
5451,FDZ60,Low Fat,Baking Goods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.118783796,108.5596,1985,1725.7536
2823,NCW29,Low Fat,Health and Hygiene,OUT018,Supermarket Type2,Medium,Tier 3,14.0,0.028980533,129.531,2009,2077.296
5895,NCT05,LF,Health and Hygiene,OUT018,Supermarket Type2,Medium,Tier 3,10.895,0.021037197,255.9672,2009,4857.6768
1595,NCA30,low fat,Household,OUT049,Supermarket Type1,Medium,Tier 1,19.0,0.129534812,190.1872,1999,5105.3544
653,FDM56,Low Fat,Fruits and Vegetables,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.122896411,111.1912,1985,218.3824
4730,FDX52,Regular,Frozen Foods,OUT018,Supermarket Type2,Medium,Tier 3,11.5,0.042173667,194.682,2009,2316.984
3623,FDC38,Low Fat,Canned,OUT013,Supermarket Type1,High,Tier 3,15.7,0.122392031,133.1942,1987,2782.3782
1527,DRJ37,Low Fat,Soft Drinks,OUT046,Supermarket Type1,Small,Tier 1,10.8,0.061101383,151.9024,1997,2580.6408
2523,FDT59,Low Fat,Breads,OUT018,Supermarket Type2,Medium,Tier 3,13.65,0.015976249,230.2668,2009,2994.7684
1966,NCP18,Low Fat,Household,OUT035,Supermarket Type1,Small,Tier 2,12.15,0.028592842,151.0708,2004,2858.9452
2980,FDE52,Regular,Dairy,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.02974207,88.9514,1985,3453.5046
4066,FDR49,Low Fat,Canned,OUT018,Supermarket Type2,Medium,Tier 3,8.71,0.139795569,47.2376,2009,910.8144
660,FDK48,Low Fat,Baking Goods,OUT049,Supermarket Type1,Medium,Tier 1,7.445,0.037690731,73.3354,1999,451.4124
4788,FDA23,Low Fat,Baking Goods,OUT049,Supermarket Type1,Medium,Tier 1,9.8,0.047260402,102.8016,1999,1922.8304
1286,DRD01,Regular,Soft Drinks,OUT035,Supermarket Type1,Small,Tier 2,12.1,0.061163967,56.5614,2004,828.921
3966,FDM02,Regular,Canned,OUT046,Supermarket Type1,Small,Tier 1,12.5,0.073735058,87.1198,1997,1657.1762
4589,FDU28,Regular,Frozen Foods,OUT018,Supermarket Type2,Medium,Tier 3,19.2,0.094300933,187.5214,2009,1695.7926
2906,FDZ47,Regular,Baking Goods,OUT046,Supermarket Type1,Small,Tier 1,20.7,0.07929647,97.2042,1997,1686.4714
505,FDH21,Low Fat,Seafood,OUT049,Supermarket Type1,Medium,Tier 1,10.395,0.031273559,160.0604,1999,1267.6832
4547,FDU28,Regular,Frozen Foods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.164438907,188.4214,1985,376.8428
1214,FDR35,Low Fat,Breads,OUT013,Supermarket Type1,High,Tier 3,12.5,0.020680499,197.2742,1987,2587.9646
2434,FDK40,Low Fat,Frozen Foods,OUT046,Supermarket Type1,Small,Tier 1,7.035,0.021849398,262.091,1997,4207.856
3068,NCV06,Low Fat,Household,OUT018,Supermarket Type2,Medium,Tier 3,11.3,0.066952965,192.0478,2009,3099.9648
2088,FDX28,Low Fat,Frozen Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.0,100.7042,1985,3174.5344
4399,FDO22,Regular,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,13.5,0.017932223,78.796,2009,239.688
491,NCV54,Low Fat,Household,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.03294861,116.8124,1985,2488.7604
2022,FDX36,Regular,Baking Goods,OUT018,Supermarket Type2,Medium,Tier 3,9.695,0.128805815,224.0404,2009,5851.0504
4113,FDA03,Regular,Dairy,OUT013,Supermarket Type1,High,Tier 3,18.5,0.045425939,144.9102,1987,1895.5326
5433,FDY48,Low Fat,Baking Goods,OUT046,Supermarket Type1,Small,Tier 1,14.0,0.023734872,103.2332,1997,1845.5976
359,FDK24,Low Fat,Baking Goods,OUT018,Supermarket Type2,Medium,Tier 3,9.195,0.0,43.6744,2009,407.4696
1131,FDV57,Regular,Snack Foods,OUT013,Supermarket Type1,High,Tier 3,15.25,0.065841719,179.866,1987,2696.49
1447,FDX25,LF,Canned,OUT046,Supermarket Type1,Small,Tier 1,16.7,0.102055777,184.0292,1997,3101.2964
2734,FDU34,Low Fat,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,18.25,0.075501241,123.1046,2009,249.0092
5363,FDE56,Regular,Fruits and Vegetables,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.278730642,63.2194,1985,247.6776
1919,FDH19,Low Fat,Meat,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.057933643,175.1738,1985,347.5476
4560,FDK34,Low Fat,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,13.35,0.038519399,236.8564,2004,5005.4844
5432,FDM51,Regular,Meat,OUT035,Supermarket Type1,Small,Tier 2,11.8,0.02592132,101.9674,2004,1731.7458
3411,NCW42,Low Fat,Household,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.102371638,221.2456,1985,663.1368
2872,DRJ59,Low Fat,Hard Drinks,OUT049,Supermarket Type1,Medium,Tier 1,11.65,0.019402371,38.7164,1999,579.246
279,FDU02,Low Fat,Dairy,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.179484411,228.9352,1985,916.1408
2405,FDR51,Regular,Meat,OUT018,Supermarket Type2,Medium,Tier 3,9.035,0.17417636,148.9708,2009,2257.062
302,FDY56,Regular,Fruits and Vegetables,OUT049,Supermarket Type1,Medium,Tier 1,16.35,0.062508438,227.1062,1999,5642.655
3830,FDC57,Regular,Fruits and Vegetables,OUT013,Supermarket Type1,High,Tier 3,20.1,0.054549098,193.782,1987,1158.492
250,FDN39,Regular,Meat,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.065203103,166.0816,1985,5033.448
2770,FDV23,Low Fat,Breads,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.185306514,125.6046,1985,622.523
1402,FDW49,Low Fat,Canned,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.082152451,179.9002,1985,4119.3046
404,DRE25,Low Fat,Soft Drinks,OUT035,Supermarket Type1,Small,Tier 2,15.35,0.073269336,92.112,2004,1118.544
3156,FDB35,Regular,Starchy Foods,OUT046,Supermarket Type1,Small,Tier 1,12.3,0.064618976,89.8804,1997,1286.3256
877,NCP55,Low Fat,Others,OUT013,Supermarket Type1,High,Tier 3,14.65,0.011180713,53.8614,1987,221.0456
4855,FDW38,Regular,Dairy,OUT046,Supermarket Type1,Small,Tier 1,5.325,0.138679995,53.7298,1997,862.8768
4960,FDS35,Low Fat,Breads,OUT013,Supermarket Type1,High,Tier 3,9.3,0.111127966,63.1826,1987,2002.0606
5386,FDM33,Low Fat,Snack Foods,OUT013,Supermarket Type1,High,Tier 3,15.6,0.087646694,221.5798,1987,5509.495
3522,NCB55,Low Fat,Household,OUT013,Supermarket Type1,High,Tier 3,15.7,0.160529322,59.2562,1987,296.281
2739,FDM38,Regular,Canned,OUT013,Supermarket Type1,High,Tier 3,5.885,0.092694107,53.6982,1987,1525.3478
989,FDQ56,Low Fat,Fruits and Vegetables,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.105085956,82.3908,1985,3691.1952
2470,NCH29,Low Fat,Health and Hygiene,OUT013,Supermarket Type1,High,Tier 3,5.51,0.034445116,95.8726,1987,2153.1972
2106,FDK26,Regular,Canned,OUT018,Supermarket Type2,Medium,Tier 3,5.46,0.032308482,185.224,2009,2423.512
5142,NCE42,Low Fat,Household,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.01055095,234.9958,1985,13086.9648
5189,FDZ59,Regular,Baking Goods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.103517853,164.95,1985,4161.25
4032,NCT41,Low Fat,Health and Hygiene,OUT035,Supermarket Type1,Small,Tier 2,15.7,0.055979703,151.9024,2004,1062.6168
4716,NCE31,Low Fat,Household,OUT049,Supermarket Type1,Medium,Tier 1,7.67,0.185130961,32.9216,1999,588.5672
683,FDS35,LF,Breads,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.110681931,63.2826,1985,1033.3216
4242,FDO56,Regular,Fruits and Vegetables,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.078758649,116.3808,1985,234.3616
264,FDW49,Low Fat,Canned,OUT018,Supermarket Type2,Medium,Tier 3,19.5,0.082888496,178.6002,2009,1253.7014
1407,FDW39,Regular,Meat,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.036731658,177.237,1985,4763.799
3729,FDQ19,Regular,Fruits and Vegetables,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.014295564,242.6512,1985,12117.56
2509,FDD52,Regular,Dairy,OUT035,Supermarket Type1,Small,Tier 2,18.25,0.183260221,108.557,2004,1208.427
3394,FDN09,Low Fat,Snack Foods,OUT013,Supermarket Type1,High,Tier 3,14.15,0.034845668,242.7828,1987,3167.8764
5923,FDA52,Regular,Frozen Foods,OUT013,Supermarket Type1,High,Tier 3,16.2,0.128315409,178.137,1987,3881.614
1886,FDW24,Low Fat,Baking Goods,OUT035,Supermarket Type1,Small,Tier 2,6.8,0.03748996,48.6034,2004,291.6204
2674,FDF10,Regular,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,15.5,0.0,147.2418,2009,1324.2762
4487,FDX50,Low Fat,Dairy,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.074265816,109.5228,1985,3757.7752
5726,DRD24,Low Fat,Soft Drinks,OUT049,Supermarket Type1,Medium,Tier 1,13.85,0.030842963,143.1154,1999,2552.6772
1401,DRF36,Low Fat,Soft Drinks,OUT049,Supermarket Type1,Medium,Tier 1,16.1,0.023613955,192.8846,1999,5350.3688
4576,FDU57,Regular,Snack Foods,OUT013,Supermarket Type1,High,Tier 3,8.27,0.089479661,148.6708,1987,2106.5912
5064,FDW51,Regular,Meat,OUT018,Supermarket Type2,Medium,Tier 3,6.155,0.095045476,213.456,2009,2556.672
3071,FDA47,Regular,Baking Goods,OUT018,Supermarket Type2,Medium,Tier 3,10.5,0.117149075,164.121,2009,1794.331
4082,FDF57,Regular,Fruits and Vegetables,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.102999154,169.9448,1985,170.4448
1412,FDM14,Low Fat,Canned,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.013199737,108.9254,1985,2713.135
3420,FDL45,Low Fat,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,15.6,0.037841362,125.2704,2009,2628.5784
1671,FDN44,Low Fat,Fruits and Vegetables,OUT049,Supermarket Type1,Medium,Tier 1,13.15,0.022831052,160.292,1999,4793.76
4011,DRC36,reg,Soft Drinks,OUT035,Supermarket Type1,Small,Tier 2,13.0,0.044976367,176.2054,2004,1225.7378
523,NCY18,Low Fat,Household,OUT035,Supermarket Type1,Small,Tier 2,7.285,0.031145743,173.6054,2004,2626.581
3661,NCD18,Low Fat,Household,OUT035,Supermarket Type1,Small,Tier 2,16.0,0.072655379,229.8668,2004,4837.7028
1,DRC01,Regular,Soft Drinks,OUT018,Supermarket Type2,Medium,Tier 3,5.92,0.019278216,48.2692,2009,443.4228
5904,FDE46,Low Fat,Snack Foods,OUT046,Supermarket Type1,Small,Tier 1,18.6,0.015769693,152.1366,1997,1813.6392
1865,FDU31,Regular,Fruits and Vegetables,OUT035,Supermarket Type1,Small,Tier 2,10.5,0.02498633,216.7508,2004,3038.7112
3483,FDY14,Low Fat,Dairy,OUT035,Supermarket Type1,Small,Tier 2,10.3,0.070026951,263.6226,2004,6608.065
81,FDA47,Regular,Baking Goods,OUT013,Supermarket Type1,High,Tier 3,10.5,0.116576702,163.121,1987,1794.331
1272,FDL34,Low Fat,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,16.0,0.040938155,141.1496,2004,4516.7872
5828,NCU17,Low Fat,Health and Hygiene,OUT035,Supermarket Type1,Small,Tier 2,5.32,0.092865746,100.6674,2004,2648.5524
2832,FDB03,Regular,Dairy,OUT046,Supermarket Type1,Small,Tier 1,17.75,0.156831826,241.0538,1997,1201.769
2658,DRB01,Low Fat,Soft Drinks,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.081841136,190.053,1985,569.259
3460,DRK11,low fat,Hard Drinks,OUT018,Supermarket Type2,Medium,Tier 3,8.21,0.010808272,150.5392,2009,1043.9744
4323,FDA44,Low Fat,Fruits and Vegetables,OUT049,Supermarket Type1,Medium,Tier 1,19.7,0.053305463,58.193,1999,848.895
5244,NCR41,Low Fat,Health and Hygiene,OUT046,Supermarket Type1,Small,Tier 1,17.85,0.018023997,95.9094,1997,2285.0256
810,FDO24,Low Fat,Baking Goods,OUT013,Supermarket Type1,High,Tier 3,11.1,0.176069023,156.7604,1987,1901.5248
4445,FDZ46,Low Fat,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,7.485,0.069405301,112.1228,2009,1105.228
759,FDL39,Regular,Dairy,OUT013,Supermarket Type1,High,Tier 3,16.1,0.063278652,182.1318,1987,2345.6134
3416,NCW42,Low Fat,Household,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.058185842,220.8456,1985,4199.8664
548,FDW01,Low Fat,Canned,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.063750302,153.4682,1985,2287.023
1050,FDO57,Low Fat,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,20.75,0.109153001,161.3578,2009,4492.8184
4754,FDZ38,Low Fat,Dairy,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.014008751,171.3422,1985,862.211
1907,NCL53,Low Fat,Health and Hygiene,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.0,175.4028,1985,6729.9064
1415,FDE08,Low Fat,Fruits and Vegetables,OUT049,Supermarket Type1,Medium,Tier 1,18.2,0.049396364,146.4734,1999,3563.3616
4116,FDT14,Regular,Dairy,OUT035,Supermarket Type1,Small,Tier 2,10.695,0.12770295,120.444,2004,2516.724
5289,FDR35,Low Fat,Breads,OUT018,Supermarket Type2,Medium,Tier 3,12.5,0.020782036,198.3742,2009,2587.9646
3823,FDA46,Low Fat,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,13.6,0.117613212,194.2136,2004,2527.3768
3798,FDM03,Low Fat,Meat,OUT046,Supermarket Type1,Small,Tier 1,12.65,0.0,107.8938,1997,750.3566
4185,NCW18,Low Fat,Household,OUT013,Supermarket Type1,High,Tier 3,15.1,0.059275452,238.9248,1987,6636.6944
727,FDC29,Regular,Frozen Foods,OUT018,Supermarket Type2,Medium,Tier 3,8.39,0.024304264,114.0176,2009,1488.7288
56,FDC29,Regular,Frozen Foods,OUT046,Supermarket Type1,Small,Tier 1,8.39,0.024205661,114.0176,1997,2290.352
1223,DRC25,Low Fat,Soft Drinks,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.079440262,86.7882,1985,85.8882
1448,FDD47,Regular,Starchy Foods,OUT035,Supermarket Type1,Small,Tier 2,7.6,0.142383847,172.3448,2004,2556.672
5700,FDK25,Regular,Breakfast,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.274592283,167.8474,1985,336.8948
2107,FDP44,Regular,Fruits and Vegetables,OUT046,Supermarket Type1,Small,Tier 1,16.5,0.079713576,101.3332,1997,1537.998
2122,FDW12,reg,Baking Goods,OUT049,Supermarket Type1,Medium,Tier 1,8.315,0.035627489,146.6444,1999,870.8664
2267,NCF31,Low Fat,Household,OUT018,Supermarket Type2,Medium,Tier 3,9.13,0.052058629,150.6024,2009,1821.6288
5105,FDD36,LF,Baking Goods,OUT049,Supermarket Type1,Medium,Tier 1,13.3,0.021306635,119.8124,1999,1896.1984
4909,FDQ40,Regular,Frozen Foods,OUT018,Supermarket Type2,Medium,Tier 3,11.1,0.036174285,176.0712,2009,1581.9408
700,FDF52,Low Fat,Frozen Foods,OUT018,Supermarket Type2,Medium,Tier 3,9.3,0.067055339,184.2292,2009,1277.0044
4886,NCX41,Low Fat,Health and Hygiene,OUT049,Supermarket Type1,Medium,Tier 1,19.0,0.017746826,210.8244,1999,2540.6928
1842,DRH25,Low Fat,Soft Drinks,OUT035,Supermarket Type1,Small,Tier 2,18.7,0.0,52.2324,2004,467.3916
5674,NCE54,Low Fat,Household,OUT046,Supermarket Type1,Small,Tier 1,20.7,0.026899856,73.9354,1997,677.1186
2457,FDN46,Regular,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,7.21,0.14460413,102.6332,2004,2153.1972
2000,FDY08,Regular,Fruits and Vegetables,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.170246782,141.5838,1985,3231.1274
2646,FDC16,Regular,Dairy,OUT049,Supermarket Type1,Medium,Tier 1,11.5,0.020601791,86.054,1999,1038.648
923,FDH24,Low Fat,Baking Goods,OUT035,Supermarket Type1,Small,Tier 2,20.7,0.021427082,156.5288,2004,1571.288
711,FDZ39,Regular,Meat,OUT035,Supermarket Type1,Small,Tier 2,19.7,0.018021361,101.199,2004,1857.582
763,NCO18,Low Fat,Household,OUT035,Supermarket Type1,Small,Tier 2,13.15,0.024646608,177.4686,2004,5510.8266
50,FDY45,Low Fat,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.026015519,255.8356,1985,2543.356
5618,FDH50,Regular,Canned,OUT035,Supermarket Type1,Small,Tier 2,15.0,0.161404914,185.8266,2004,1844.266
638,FDR57,Regular,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,5.675,0.023492524,155.5288,2004,1414.1592
5497,FDP33,Low Fat,Snack Foods,OUT013,Supermarket Type1,High,Tier 3,18.7,0.089197963,257.3672,1987,2045.3376
594,NCK17,Low Fat,Health and Hygiene,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.037711338,41.548,1985,1358.232
2183,FDB60,Low Fat,Baking Goods,OUT035,Supermarket Type1,Small,Tier 2,9.3,0.028516696,194.6136,2004,3110.6176
5364,DRJ01,low fat,Soft Drinks,OUT018,Supermarket Type2,Medium,Tier 3,6.135,0.115500999,161.1236,2009,644.4944
4396,NCE07,Low Fat,Household,OUT046,Supermarket Type1,Small,Tier 1,8.18,0.013130031,142.6154,1997,709.077
4024,FDR13,Regular,Canned,OUT049,Supermarket Type1,Medium,Tier 1,9.895,0.028765486,115.3492,1999,1274.3412
4325,NCK53,Low Fat,Health and Hygiene,OUT013,Supermarket Type1,High,Tier 3,11.6,0.037549969,101.2042,1987,2281.6966
3755,FDN21,Low Fat,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,18.6,0.076841095,162.2236,2004,2900.2248
970,FDA23,Low Fat,Baking Goods,OUT035,Supermarket Type1,Small,Tier 2,9.8,0.047178116,99.4016,2004,2428.8384
4284,NCM06,Low Fat,Household,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.075361182,155.6656,1985,3243.7776
856,FDL26,Low Fat,Canned,OUT018,Supermarket Type2,Medium,Tier 3,18.0,0.073490977,157.3972,2009,778.986
1173,FDB59,Low Fat,Snack Foods,OUT049,Supermarket Type1,Medium,Tier 1,18.25,0.015302653,198.0084,1999,793.6336
5737,FDS59,Regular,Breads,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.076851759,111.857,1985,109.857
4356,DRM47,Low Fat,Hard Drinks,OUT018,Supermarket Type2,Medium,Tier 3,9.3,0.043964058,192.3846,2009,4586.0304
2327,FDS55,Low Fat,Fruits and Vegetables,OUT018,Supermarket Type2,Medium,Tier 3,7.02,0.0,148.1734,2009,890.8404
3163,FDZ37,Regular,Canned,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.019672774,86.4198,1985,1918.8356
14,FDP49,Regular,Breakfast,OUT049,Supermarket Type1,Medium,Tier 1,9.0,0.069196376,54.3614,1999,718.3982
