,Date,type,region,year,Total Volume,PLU4046,PLU4225,PLU4770,Total Bags,Small Bags,Large Bags,XLarge Bags,AveragePrice
3069,12/18/2016,conventional,BuffaloRochester,2016,85340.08,1276.16,52115.34,60.37,31888.21,29696.94,2191.27,0.0,1.36
6750,8/6/2017,conventional,LasVegas,2017,283779.47,114985.35,53059.42,7126.4,108608.3,49026.33,59193.02,388.95,1.3
5317,9/25/2016,conventional,StLouis,2016,165887.64,89034.64,12643.89,25.48,64183.63,38326.05,25857.58,0.0,1.06
11406,2/22/2015,organic,Seattle,2015,35183.3,13839.32,20645.52,83.21,615.25,0.0,615.25,0.0,1.5
9069,3/4/2018,conventional,Syracuse,2018,89700.27,7365.24,50900.41,81.18,31353.44,9960.15,21393.29,0.0,1.1
13241,10/30/2016,organic,Midsouth,2016,97718.73,2087.74,57325.02,3894.51,34411.46,29295.75,5115.71,0.0,1.78
10511,5/10/2015,organic,Nashville,2015,9466.36,369.96,4669.91,18.16,4408.33,750.0,3658.33,0.0,1.13
8206,2/12/2017,conventional,StLouis,2017,153045.63,60850.47,12420.08,163.12,79611.96,79283.25,98.15,230.56,0.99
783,12/6/2015,conventional,GreatLakes,2015,2981347.2,401676.14,1680591.43,398320.64,500758.99,325850.0,124306.44,50602.55,1.0
6972,5/28/2017,conventional,Midsouth,2017,3380161.63,750399.45,1352784.05,35153.44,1241824.69,1002083.8,230580.56,9160.33,1.38
9506,9/6/2015,organic,Charlotte,2015,4259.63,250.27,1331.42,1018.35,1659.59,1659.59,0.0,0.0,2.01
6105,10/8/2017,conventional,CincinnatiDayton,2017,170365.8,6658.45,50674.92,588.2,112444.23,19544.28,92860.76,39.19,1.9
691,9/13/2015,conventional,Detroit,2015,401472.63,151274.05,73572.68,106452.77,70173.13,51456.91,1329.55,17386.67,1.03
932,1/25/2015,conventional,HartfordSpringfield,2015,241174.11,4305.86,150044.76,231.99,86591.5,79402.42,7189.08,0.0,1.35
3354,6/26/2016,conventional,Columbus,2016,201923.72,99552.74,37201.77,10852.83,54316.38,45985.7,4847.72,3482.96,1.04
17045,7/9/2017,organic,Seattle,2017,40058.59,1411.24,16587.8,24.73,22034.82,281.45,21753.37,0.0,2.12
1089,1/18/2015,conventional,Jacksonville,2015,99496.16,57479.2,16442.71,513.69,25060.56,14684.19,10376.37,0.0,1.27
12280,4/24/2016,organic,California,2016,208434.9,18891.23,100137.58,3.04,89403.05,89320.2,82.85,0.0,1.39
3444,10/2/2016,conventional,Denver,2016,677071.87,124504.59,172835.74,16447.85,363283.69,76212.51,287071.18,0.0,1.18
1925,12/20/2015,conventional,RaleighGreensboro,2015,189584.22,43169.56,78630.35,20913.36,46870.95,46617.48,253.47,0.0,0.98
10764,6/28/2015,organic,Orlando,2015,2804.46,2068.27,79.52,0.0,656.67,656.67,0.0,0.0,1.87
16745,3/5/2017,organic,RaleighGreensboro,2017,7644.87,310.11,3737.67,220.26,3376.83,1772.87,1603.96,0.0,1.54
6561,2/26/2017,conventional,HartfordSpringfield,2017,259318.66,11083.37,193422.27,350.5,54462.52,51393.77,3068.75,0.0,1.59
17930,2/18/2018,organic,NewOrleansMobile,2018,9239.49,290.98,188.28,0.0,8760.23,8156.67,603.56,0.0,1.39
8056,12/17/2017,conventional,Southeast,2017,3751927.63,2208030.81,341376.69,15056.86,1187463.27,728007.45,442491.14,16964.68,1.01
15667,7/9/2017,organic,HartfordSpringfield,2017,11842.55,43.92,4563.44,8.23,7226.96,7226.96,0.0,0.0,2.67
2361,8/2/2015,conventional,SouthCentral,2015,5142335.64,3276776.23,1254704.28,24749.12,586106.01,492930.71,93162.67,12.63,0.9
10550,8/9/2015,organic,NewOrleansMobile,2015,2448.58,383.64,255.57,0.0,1809.37,1809.37,0.0,0.0,1.69
6168,7/30/2017,conventional,Columbus,2017,170792.43,87045.12,20908.3,1144.77,61694.24,52483.91,8793.66,416.67,1.22
14510,6/5/2016,organic,Syracuse,2016,3058.43,0.0,106.83,0.0,2951.6,1899.83,1051.77,0.0,1.42
18248,1/7/2018,organic,WestTexNewMexico,2018,17489.58,2894.77,2356.13,224.53,12014.15,11988.14,26.01,0.0,1.62
6411,12/31/2017,conventional,GreatLakes,2017,4398887.92,1092011.22,1740608.6,364049.45,1202218.65,927628.08,231172.74,43417.83,0.92
15940,5/14/2017,organic,LosAngeles,2017,105965.36,11688.57,28601.28,0.0,65675.51,64377.29,1298.22,0.0,1.4
1494,4/5/2015,conventional,NewYork,2015,1244324.47,20081.53,909664.31,2011.01,312567.62,252129.98,59757.08,680.56,1.41
11978,2/14/2016,organic,Albany,2016,1247.8,50.84,263.65,0.0,933.31,933.31,0.0,0.0,1.81
16569,7/2/2017,organic,Pittsburgh,2017,8002.38,865.57,36.1,0.0,7100.71,7094.05,6.66,0.0,1.58
941,11/22/2015,conventional,Houston,2015,913002.96,402191.51,391110.76,6924.43,112776.26,70785.25,41991.01,0.0,0.73
8605,2/4/2018,conventional,Columbus,2018,333398.29,108554.97,61748.67,5329.61,157765.04,117614.03,39927.3,223.71,0.73
15723,6/18/2017,organic,Houston,2017,42161.02,9790.57,82.0,0.0,32288.45,32199.56,88.89,0.0,1.03
14283,10/16/2016,organic,SouthCentral,2016,144647.08,53252.15,4007.89,0.0,87387.04,68709.98,18677.06,0.0,1.09
2408,9/6/2015,conventional,Southeast,2015,3750714.49,2175323.4,650270.11,43507.27,881613.71,472040.07,409430.79,142.85,0.97
9631,4/12/2015,organic,CincinnatiDayton,2015,13607.83,272.3,12556.25,0.0,779.28,688.44,90.84,0.0,1.49
7879,4/16/2017,conventional,SanFrancisco,2017,670281.46,229167.93,349889.27,4769.39,86454.87,84582.49,250.71,1621.67,1.69
14749,11/5/2017,organic,Albany,2017,3425.86,3.56,64.14,0.0,3358.16,3358.16,0.0,0.0,1.5
11364,12/13/2015,organic,Seattle,2015,53336.93,617.87,19731.07,34.72,32953.27,51.55,32901.72,0.0,1.03
597,7/5/2015,conventional,DallasFtWorth,2015,1320696.13,835215.79,334916.29,5388.47,145175.58,139670.52,5497.78,7.28,0.83
16105,4/2/2017,organic,Midsouth,2017,129499.97,4585.96,58475.37,2227.82,64210.82,36145.43,28065.39,0.0,1.67
12233,3/20/2016,organic,BuffaloRochester,2016,6490.21,13.26,180.62,0.0,6296.33,3454.51,2841.82,0.0,1.48
9772,7/26/2015,organic,Denver,2015,28284.23,9085.94,2619.52,21.94,16556.83,248.46,16308.37,0.0,1.43
12789,7/10/2016,organic,HarrisburgScranton,2016,7574.45,302.48,199.16,203.97,6868.84,6723.47,145.37,0.0,1.88
10777,3/29/2015,organic,Orlando,2015,2718.72,2081.41,47.36,0.0,589.95,589.95,0.0,0.0,1.89
17525,6/18/2017,organic,West,2017,215628.86,37443.94,48934.78,159.38,129090.76,31850.15,97240.61,0.0,1.68
5002,10/16/2016,conventional,SanFrancisco,2016,590535.06,141221.01,362859.22,7787.57,78667.26,74349.15,3259.5,1058.61,1.99
11807,6/7/2015,organic,TotalUS,2015,640448.59,200483.4,264482.87,6286.15,169196.17,109859.75,59336.42,0.0,1.67
14771,6/4/2017,organic,Albany,2017,3771.39,54.47,352.85,0.0,3364.07,3364.07,0.0,0.0,1.63
10341,8/16/2015,organic,Louisville,2015,2495.29,3.82,1866.45,0.0,625.02,243.33,381.69,0.0,1.52
14379,12/11/2016,organic,Spokane,2016,2137.62,10.17,598.15,0.0,1529.3,31.65,1497.65,0.0,1.38
9619,7/5/2015,organic,CincinnatiDayton,2015,15077.62,250.57,12154.91,0.0,2672.14,640.0,2032.14,0.0,1.59
10945,1/4/2015,organic,Pittsburgh,2015,1339.36,754.0,124.33,0.0,461.03,447.01,14.02,0.0,1.81
115,10/11/2015,conventional,BaltimoreWashington,2015,653560.14,34707.02,392008.6,58490.1,168354.42,163669.01,4685.41,0.0,1.24
10828,4/5/2015,organic,Philadelphia,2015,4382.72,390.07,1248.73,26.69,2717.23,2717.23,0.0,0.0,1.81
8685,3/4/2018,conventional,HartfordSpringfield,2018,432095.58,15615.69,347650.33,272.95,68556.61,64366.72,3032.11,1157.78,1.17
12768,12/4/2016,organic,HarrisburgScranton,2016,5955.63,276.69,184.01,11.25,5483.68,5483.68,0.0,0.0,2.01
4389,7/31/2016,conventional,NorthernNewEngland,2016,435129.36,79930.71,239638.1,6617.7,108942.85,107009.09,3.76,1930.0,1.49
13264,5/22/2016,organic,Midsouth,2016,109558.94,3602.18,44760.46,1981.25,59215.05,35153.47,24061.58,0.0,1.37
2068,3/22/2015,conventional,Roanoke,2015,126535.83,51584.99,46659.25,102.64,28188.95,28170.39,15.56,3.0,1.09
862,5/31/2015,conventional,HarrisburgScranton,2015,260058.34,42572.44,125281.89,804.17,91399.84,87880.67,2341.73,1177.44,1.22
13980,8/14/2016,organic,Roanoke,2016,9274.44,100.12,3811.78,0.0,5362.54,1314.48,4048.06,0.0,1.26
17071,1/8/2017,organic,Seattle,2017,50943.98,537.65,11503.88,6.58,38895.87,583.94,38311.93,0.0,1.23
12608,1/3/2016,organic,Denver,2016,30514.09,7003.19,4240.7,51.8,19218.4,368.17,18850.23,0.0,1.05
7196,3/5/2017,conventional,Northeast,2017,4468555.34,237802.16,3228538.95,63971.19,938243.04,877970.46,56847.58,3425.0,1.34
14815,8/6/2017,organic,Atlanta,2017,13998.62,451.86,5641.82,0.0,7904.94,5936.32,1968.62,0.0,1.97
10364,3/8/2015,organic,Louisville,2015,1541.79,2.38,912.87,0.0,626.54,532.64,93.9,0.0,1.72
13098,7/31/2016,organic,LosAngeles,2016,115313.85,14654.26,28278.26,1.6,72379.73,70166.73,2213.0,0.0,1.21
3071,12/4/2016,conventional,BuffaloRochester,2016,72203.16,960.31,54243.42,22.85,16976.58,15683.05,1256.03,37.5,1.66
1574,9/20/2015,conventional,NorthernNewEngland,2015,322729.94,2413.3,270775.68,291.7,49249.26,48164.82,1084.44,0.0,1.17
14734,2/14/2016,organic,WestTexNewMexico,2016,15805.58,1483.39,4975.83,38.02,9308.34,6330.13,2978.21,0.0,1.39
17418,6/25/2017,organic,Tampa,2017,6199.5,488.9,2780.41,0.0,2930.19,2923.52,6.67,0.0,2.09
6362,12/3/2017,conventional,GrandRapids,2017,301527.0,2268.0,182507.0,65476.0,51277.0,14813.0,26632.0,9831.0,0.99
3937,4/10/2016,conventional,LasVegas,2016,354098.37,151862.79,91833.73,6305.12,104096.73,48046.6,56050.13,0.0,0.87
1341,3/15/2015,conventional,Midsouth,2015,2462108.11,570576.91,1066470.63,210234.78,614825.79,578103.5,34641.93,2080.36,1.19
2712,11/1/2015,conventional,West,2015,5024858.14,1815066.15,1937479.91,132883.59,1139428.49,717110.41,421675.08,643.0,0.9
3115,1/31/2016,conventional,BuffaloRochester,2016,164453.65,2015.15,81676.45,88.82,80673.23,79715.45,957.78,0.0,1.21
5425,8/28/2016,conventional,Tampa,2016,378817.72,177292.69,99784.11,62.59,101678.33,78855.06,20239.66,2583.61,1.14
11695,8/2/2015,organic,Syracuse,2015,894.87,5.0,131.08,0.0,758.79,755.46,3.33,0.0,1.98
15761,10/1/2017,organic,Indianapolis,2017,7780.31,154.85,1188.01,0.0,6376.61,4453.01,1923.6,0.0,1.68
4413,2/14/2016,conventional,NorthernNewEngland,2016,456439.67,4686.98,316152.87,41374.9,94224.92,91688.51,2536.41,0.0,0.99
9409,7/19/2015,organic,BuffaloRochester,2015,1728.99,56.05,123.39,0.0,1549.55,1549.55,0.0,0.0,1.91
10626,2/22/2015,organic,NewYork,2015,16620.69,3471.14,9549.06,43.85,3556.64,3556.64,0.0,0.0,2.21
12098,10/23/2016,organic,Boise,2016,1047.82,0.0,396.32,0.0,651.5,216.67,434.83,0.0,1.76
9547,11/22/2015,organic,Chicago,2015,24095.66,716.68,23255.65,0.0,123.33,120.0,3.33,0.0,1.57
4419,1/3/2016,conventional,NorthernNewEngland,2016,553828.14,3485.03,492915.32,17575.69,39852.1,39852.1,0.0,0.0,0.96
12365,9/4/2016,organic,Chicago,2016,29892.84,91.7,27757.81,0.0,2043.33,2043.33,0.0,0.0,2.08
6691,9/17/2017,conventional,Jacksonville,2017,141725.96,82016.13,13544.55,24.82,46140.46,8860.73,37219.73,60.0,1.73
12763,1/10/2016,organic,GreatLakes,2016,112034.52,19744.83,72015.81,0.0,20273.88,9843.3,10430.58,0.0,1.48
4029,7/3/2016,conventional,Louisville,2016,106600.14,2398.42,64636.42,1810.55,37754.75,18047.85,15818.57,3888.33,1.0
16487,1/15/2017,organic,Philadelphia,2017,11538.53,1218.57,3918.11,15.5,6386.35,6361.46,24.89,0.0,2.0
15487,12/3/2017,organic,GrandRapids,2017,6184.48,14.31,758.19,0.0,5411.98,5411.98,0.0,0.0,1.31
3886,4/3/2016,conventional,Jacksonville,2016,181662.16,84765.99,27201.22,149.61,69545.34,27121.05,42424.29,0.0,1.01
8702,1/28/2018,conventional,Houston,2018,1647858.32,832418.81,103716.17,17666.27,694057.07,609576.26,84377.48,103.33,0.71
7533,10/29/2017,conventional,Portland,2017,520629.7,152604.62,128666.04,15431.79,223927.25,175517.41,47898.67,511.17,1.29
17351,10/1/2017,organic,Syracuse,2017,6358.44,127.81,61.21,0.0,6169.42,6169.42,0.0,0.0,1.41
31,5/24/2015,conventional,Albany,2015,101470.91,680.27,71376.81,58.7,29355.13,28761.81,593.32,0.0,1.19
17053,5/14/2017,organic,Seattle,2017,49291.33,1601.12,13061.38,41.19,34587.64,1325.19,33262.45,0.0,1.62
12253,10/30/2016,organic,California,2016,96095.1,17620.85,52989.92,1.54,25482.79,17096.29,8386.5,0.0,2.49
3470,4/3/2016,conventional,Denver,2016,829424.24,153221.66,209188.36,25632.09,441382.13,39142.16,402239.97,0.0,0.83
16503,10/1/2017,organic,PhoenixTucson,2017,11071.7,2624.47,142.4,0.0,8304.83,8270.68,34.15,0.0,1.8
7233,6/25/2017,conventional,NorthernNewEngland,2017,359321.55,8947.03,270962.51,13004.97,66407.04,28816.42,33800.62,3790.0,1.62
17635,1/14/2018,organic,BaltimoreWashington,2018,66149.27,1264.25,10025.87,105.72,54753.43,54746.77,6.66,0.0,1.39
936,12/27/2015,conventional,Houston,2015,944506.54,389773.22,288003.62,126150.81,140578.89,73711.94,36493.62,30373.33,0.78
481,9/27/2015,conventional,CincinnatiDayton,2015,202012.62,2220.62,138937.95,11725.37,49128.68,12344.28,34341.61,2442.79,1.08
7138,4/9/2017,conventional,NewYork,2017,1277721.97,37746.37,775729.89,2839.8,461405.91,407168.08,51164.8,3073.03,1.75
15771,7/23/2017,organic,Indianapolis,2017,10430.79,102.46,2950.41,0.0,7360.84,2825.97,4534.87,0.0,1.6
5300,1/24/2016,conventional,Spokane,2016,89537.48,14122.5,29929.21,2793.05,42692.72,42637.23,17.07,38.42,0.97
480,10/4/2015,conventional,CincinnatiDayton,2015,235243.88,2132.57,157237.69,11767.9,64105.72,16488.06,45980.45,1637.21,0.93
2366,6/28/2015,conventional,SouthCentral,2015,6024103.65,3656335.59,1416248.77,81756.0,869763.29,678138.24,191572.72,52.33,0.77
14310,4/10/2016,organic,SouthCentral,2016,91639.0,29757.15,7403.82,8.52,54469.51,41421.13,13048.38,0.0,1.21
16614,8/27/2017,organic,Plains,2017,60468.47,1074.2,22609.26,1121.4,35663.61,25961.28,9697.03,5.3,2.01
4338,7/24/2016,conventional,Northeast,2016,3834290.51,220814.35,2172523.13,63713.79,1377239.24,1287855.02,36043.62,53340.6,1.54
7175,7/30/2017,conventional,Northeast,2017,4018833.97,232617.59,2705082.88,15289.08,1065844.42,931973.3,119001.73,14869.39,1.49
61,10/25/2015,conventional,Atlanta,2015,358478.08,236814.29,64607.97,304.36,56751.46,31826.88,24924.58,0.0,1.09
11852,7/26/2015,organic,West,2015,159233.08,60875.67,63812.49,130.63,34414.29,2726.04,31688.25,0.0,1.86
12442,3/13/2016,organic,CincinnatiDayton,2016,13252.99,308.89,8663.98,0.0,4280.12,540.0,3740.12,0.0,1.25
12690,6/5/2016,organic,GrandRapids,2016,3011.11,55.96,2281.21,0.0,673.94,526.67,147.27,0.0,1.28
7602,7/9/2017,conventional,RaleighGreensboro,2017,309542.11,92214.73,91091.46,5985.39,120250.53,113413.21,1835.65,5001.67,1.25
11390,6/14/2015,organic,Seattle,2015,31901.63,10611.58,20743.71,197.26,349.08,0.0,349.08,0.0,2.03
14951,1/8/2017,organic,Boise,2017,4137.35,3.0,585.08,0.0,3549.27,632.37,2916.9,0.0,1.04
7013,8/20/2017,conventional,Nashville,2017,261757.88,114191.45,37848.66,52.6,109665.17,90141.14,17632.7,1891.33,1.07
15521,4/9/2017,organic,GrandRapids,2017,2038.99,43.45,1224.09,0.0,771.45,599.98,171.47,0.0,2.0
10437,10/11/2015,organic,Midsouth,2015,60162.15,2195.42,30952.79,3637.71,23376.23,11437.45,11938.78,0.0,1.53
14661,7/10/2016,organic,West,2016,226554.8,47697.0,78885.22,81.91,99890.67,60450.95,39439.72,0.0,1.54
234,6/28/2015,conventional,Boston,2015,560494.92,4688.28,403230.6,9120.3,143455.74,142574.63,881.11,0.0,1.25
12639,5/29/2016,organic,Detroit,2016,19412.28,634.9,11896.25,0.0,6881.13,622.9,6258.23,0.0,1.41
89,4/12/2015,conventional,Atlanta,2015,451101.89,377578.48,22419.95,219.14,50884.32,25833.07,25051.25,0.0,0.99
8555,2/18/2018,conventional,California,2018,6379219.83,2086478.7,2413234.64,114573.33,1764933.16,1640897.04,47009.82,77026.3,1.1
3008,2/21/2016,conventional,Boise,2016,93951.14,37807.51,9084.55,4890.81,42168.27,42111.91,50.05,6.31,0.74
12720,11/6/2016,organic,GreatLakes,2016,175323.06,3560.85,63234.05,0.0,108528.16,25403.29,83124.87,0.0,1.25
8616,2/11/2018,conventional,DallasFtWorth,2018,1553404.16,768415.85,212945.5,5327.13,566715.68,461849.3,87861.7,17004.68,0.72
4826,3/6/2016,conventional,RichmondNorfolk,2016,255419.61,69078.97,117735.27,7265.87,61339.5,61329.85,9.65,0.0,0.99
7508,4/16/2017,conventional,Plains,2017,1808002.16,776378.88,497717.36,7828.86,526077.06,500350.57,5479.2,20247.29,1.35
7491,8/13/2017,conventional,Plains,2017,1739844.71,649275.23,609832.36,6243.42,474493.7,424441.48,35663.55,14388.67,1.43
11371,10/25/2015,organic,Seattle,2015,25757.73,3749.12,11950.72,63.86,9994.03,647.47,9346.56,0.0,1.74
15143,5/28/2017,organic,Charlotte,2017,8254.68,313.55,5326.85,398.1,2216.18,1790.08,426.1,0.0,2.5
6247,1/29/2017,conventional,DallasFtWorth,2017,1306293.11,789341.03,172742.07,36048.34,308161.67,264359.46,43743.14,59.07,0.73
2854,2/7/2016,conventional,Albany,2016,169614.01,2031.67,157271.87,109.88,10200.59,9349.67,850.92,0.0,1.07
17574,7/16/2017,organic,WestTexNewMexico,2017,19126.81,1763.86,4382.01,2211.74,10769.2,10652.21,116.99,0.0,1.6
13782,6/5/2016,organic,Plains,2016,54947.33,5202.16,26660.75,3345.5,19738.92,14844.01,4894.91,0.0,1.68
7507,4/23/2017,conventional,Plains,2017,2143445.39,1115172.82,403864.38,6655.98,617752.21,606147.7,8038.24,3566.27,1.18
7725,3/12/2017,conventional,Roanoke,2017,143644.79,31344.32,50614.07,161.29,61525.11,59939.46,1585.65,0.0,1.26
15001,1/29/2017,organic,Boston,2017,15270.59,8.37,1127.0,0.0,14135.22,13878.77,256.45,0.0,1.9
14110,2/14/2016,organic,SanDiego,2016,14114.3,667.06,9489.39,7.99,3949.86,670.13,3279.73,0.0,1.42
8258,2/19/2017,conventional,Syracuse,2017,61608.13,831.96,44732.35,6.0,16037.82,15679.21,358.61,0.0,1.71
14157,3/20/2016,organic,SanFrancisco,2016,24714.55,1130.34,21871.99,0.0,1712.22,1712.22,0.0,0.0,2.33
1830,10/18/2015,conventional,Plains,2015,1368887.69,492966.35,588304.97,14931.07,272685.3,257340.06,13759.12,1586.12,1.12
11661,3/29/2015,organic,StLouis,2015,3137.41,1054.01,2013.4,0.0,70.0,70.0,0.0,0.0,2.09
17716,2/4/2018,organic,CincinnatiDayton,2018,11196.3,628.58,4438.31,0.0,6129.41,4339.23,1790.18,0.0,1.69
13948,3/27/2016,organic,RichmondNorfolk,2016,9029.13,184.98,3008.88,224.62,5610.65,2487.03,3123.62,0.0,1.14
4127,8/14/2016,conventional,Midsouth,2016,2901786.65,666957.64,1211099.91,107539.52,916189.58,825797.1,87262.48,3130.0,1.29
16597,12/24/2017,organic,Plains,2017,53663.33,2437.98,17137.62,29.27,34058.46,22547.68,11499.94,10.84,1.73
1364,10/4/2015,conventional,Nashville,2015,157490.03,78331.45,30106.11,6363.08,42689.39,26267.85,16376.41,45.13,0.96
4430,10/16/2016,conventional,Orlando,2016,311363.97,104391.1,87927.74,151.73,118893.4,24825.29,94068.11,0.0,1.23
13651,12/11/2016,organic,PhoenixTucson,2016,8087.23,1880.06,3240.23,0.0,2966.94,2915.48,51.46,0.0,1.83
7681,1/8/2017,conventional,RichmondNorfolk,2017,275129.35,91466.86,106264.62,3253.48,74144.39,73168.4,975.99,0.0,1.18
15071,10/8/2017,organic,California,2017,124505.87,26222.41,53539.49,0.0,44743.97,44692.13,51.84,0.0,2.17
16526,4/23/2017,organic,PhoenixTucson,2017,13678.61,3557.81,6186.19,0.0,3934.61,1470.08,2464.53,0.0,1.67
6929,3/19/2017,conventional,MiamiFtLauderdale,2017,520937.75,297627.53,79475.12,350.68,143484.42,80525.62,62486.58,472.22,1.62
15267,1/22/2017,organic,CincinnatiDayton,2017,7209.5,235.68,4884.31,0.0,2089.51,694.68,1394.83,0.0,1.58
16808,12/31/2017,organic,Roanoke,2017,5756.97,147.66,1513.56,0.0,4095.75,3747.09,348.66,0.0,1.5
7078,5/28/2017,conventional,NewOrleansMobile,2017,293608.21,182795.19,30514.83,267.0,80031.19,55454.81,10461.38,14115.0,1.39
222,9/20/2015,conventional,Boston,2015,498640.23,4376.74,398673.48,418.46,95171.55,91612.66,3558.89,0.0,1.15
17660,1/7/2018,organic,Boston,2018,30096.0,14.46,2704.48,0.0,27377.06,25121.53,2255.53,0.0,1.91
8480,3/11/2018,conventional,Albany,2018,144648.75,15823.35,110950.68,70.0,17804.72,14480.52,3033.09,291.11,1.12
10876,5/3/2015,organic,PhoenixTucson,2015,17519.51,12879.51,2627.53,0.0,2012.47,1073.33,939.14,0.0,1.4
3882,5/1/2016,conventional,Jacksonville,2016,370646.01,169412.4,70592.24,248.56,130392.81,37625.8,92767.01,0.0,0.68
376,10/4/2015,conventional,Charlotte,2015,146737.74,23648.94,44671.1,40366.93,38050.77,30388.81,7661.96,0.0,1.22
4922,5/1/2016,conventional,Sacramento,2016,481861.11,158376.45,251468.09,16678.02,55338.55,54906.9,106.65,325.0,1.06
9572,5/31/2015,organic,Chicago,2015,18625.81,599.1,17156.71,0.0,870.0,870.0,0.0,0.0,1.85
13563,8/21/2016,organic,Orlando,2016,6359.75,2642.82,176.93,0.0,3540.0,3503.33,36.67,0.0,1.85
15543,11/12/2017,organic,GreatLakes,2017,159071.48,3624.05,45966.15,0.0,109173.25,96907.0,12266.25,0.0,1.64
15034,6/18/2017,organic,BuffaloRochester,2017,5445.57,28.33,544.31,0.0,4872.93,830.0,4042.93,0.0,2.54
15690,1/29/2017,organic,HartfordSpringfield,2017,9412.37,96.15,3494.43,9.62,5812.17,5602.31,209.86,0.0,2.43
2462,8/23/2015,conventional,Spokane,2015,84333.73,34441.25,35454.67,2497.82,11939.99,11869.39,70.6,0.0,1.08
8907,1/21/2018,conventional,Plains,2018,2208596.12,1051836.46,479599.9,7659.28,669500.48,562989.08,106461.22,50.18,1.18
17626,3/18/2018,organic,BaltimoreWashington,2018,45505.0,2132.2,6130.5,76.41,37165.89,37157.4,8.49,0.0,1.41
2560,10/4/2015,conventional,Syracuse,2015,41904.06,1777.42,22698.79,10.41,17417.44,16884.11,533.33,0.0,1.34
14808,9/24/2017,organic,Atlanta,2017,18912.3,507.34,5068.56,0.0,13336.4,4252.99,9083.41,0.0,2.56
12006,7/31/2016,organic,Atlanta,2016,14463.16,2799.3,5878.73,0.0,5785.13,1371.57,4413.56,0.0,1.62
4840,11/27/2016,conventional,Roanoke,2016,82819.13,23710.29,23786.95,86.27,35235.62,34948.95,286.67,0.0,1.31
17180,12/24/2017,organic,Southeast,2017,90080.71,1409.87,16980.39,96.76,71593.69,63498.43,8095.26,0.0,1.57
2012,4/19/2015,conventional,RichmondNorfolk,2015,231641.21,75898.29,91143.24,10864.49,53735.19,53008.05,727.14,0.0,1.1
1291,3/1/2015,conventional,MiamiFtLauderdale,2015,647014.16,484615.92,60307.81,41.65,102048.78,45516.03,56532.75,0.0,1.01
12592,4/24/2016,organic,Denver,2016,229646.05,62551.8,37420.77,124.69,129548.79,121358.4,8190.39,0.0,0.74
3768,7/10/2016,conventional,Houston,2016,1101543.61,607069.9,208421.56,41628.96,244423.19,201545.27,39452.64,3425.28,0.89
7368,12/10/2017,conventional,PhoenixTucson,2017,1222641.23,731583.95,200595.47,10237.88,280223.93,199484.52,77062.75,3676.66,0.64
15752,12/3/2017,organic,Indianapolis,2017,8244.23,186.51,1155.5,0.0,6891.74,5247.5,1644.24,0.0,1.42
14594,10/23/2016,organic,TotalUS,2016,699763.35,131203.12,241758.21,4363.02,322439.0,168962.6,153476.4,0.0,1.63
8279,10/1/2017,conventional,Tampa,2017,298663.48,184126.8,34452.35,47.63,80036.7,52502.99,27533.71,0.0,1.96
9468,5/31/2015,organic,California,2015,119999.12,52846.87,53628.31,0.0,13523.94,13523.94,0.0,0.0,1.5
17822,2/18/2018,organic,Houston,2018,31029.02,6697.58,149.14,0.0,24182.3,24082.3,100.0,0.0,1.41
2013,4/12/2015,conventional,RichmondNorfolk,2015,213032.44,60609.49,96301.96,9863.28,46257.71,44510.63,1747.08,0.0,1.11
17060,3/26/2017,organic,Seattle,2017,117379.74,1221.44,13622.19,6.8,102529.31,456.23,102073.08,0.0,0.7
5074,5/29/2016,conventional,Seattle,2016,771235.53,92529.88,210394.57,10676.49,457634.59,443121.96,14344.74,167.89,0.87
14925,7/9/2017,organic,Boise,2017,3526.39,60.34,767.31,0.0,2698.74,504.14,2194.6,0.0,1.58
16395,10/15/2017,organic,Orlando,2017,3824.55,175.45,1228.12,0.0,2420.98,1696.66,724.32,0.0,2.87
7847,11/26/2017,conventional,SanFrancisco,2017,630939.0,166448.0,359471.0,2154.0,102865.0,100099.0,60.0,2706.0,1.52
14370,2/14/2016,organic,Southeast,2016,39730.5,14094.73,7433.77,388.89,17813.11,15792.13,2020.98,0.0,1.57
1141,1/18/2015,conventional,LasVegas,2015,233186.09,100191.96,94930.69,4887.89,33175.55,32897.59,277.96,0.0,1.06
13089,10/2/2016,organic,LosAngeles,2016,76112.99,10357.01,22863.79,3.17,42889.02,37434.0,5455.02,0.0,1.52
14818,7/16/2017,organic,Atlanta,2017,14396.43,471.9,7657.36,0.0,6267.17,2880.81,3386.36,0.0,1.89
12460,11/6/2016,organic,Columbus,2016,16601.25,537.42,2897.13,0.0,13166.7,2262.47,10904.23,0.0,0.89
145,3/15/2015,conventional,BaltimoreWashington,2015,693698.13,53400.14,395837.01,46596.22,197864.76,193130.9,4733.86,0.0,1.24
7920,7/9/2017,conventional,Seattle,2017,905064.3,186651.37,182881.1,1023.68,534508.15,534148.07,34.7,325.38,1.0
16322,2/26/2017,organic,Northeast,2017,182655.98,22185.72,70918.22,161.59,89390.45,86833.66,2556.79,0.0,1.82
4729,1/17/2016,conventional,Portland,2016,731385.02,91788.6,249094.94,16915.12,373586.36,366756.26,6677.6,152.5,0.87
3043,6/19/2016,conventional,Boston,2016,649660.14,10851.29,456521.61,38655.07,143632.17,141650.87,141.3,1840.0,1.32
